rank,word,frequency,zipf
923,earth,0.000115,5.06
924,forget,0.000115,5.06
925,goal,0.000115,5.06
926,h,0.000115,5.06
927,huge,0.000115,5.06
928,internet,0.000115,5.06
929,listen,0.000115,5.06
930,okay,0.000115,5.06
931,practice,0.000115,5.06
932,rules,0.000115,5.06
933,sea,0.000115,5.06
934,sir,0.000115,5.06
935,success,0.000115,5.06
936,towards,0.000115,5.06
937,v,0.000115,5.06
938,waiting,0.000115,5.06
939,ways,0.000115,5.06
940,access,0.000112,5.05
941,aren't,0.000112,5.05
942,base,0.000112,5.05
943,below,0.000112,5.05
944,created,0.000112,5.05
945,deep,0.000112,5.05
946,followed,0.000112,5.05
947,la,0.000112,5.05
948,lol,0.000112,5.05
949,mark,0.000112,5.05
950,missing,0.000112,5.05
951,offer,0.000112,5.05
952,pass,0.000112,5.05
953,professional,0.000112,5.05
954,released,0.000112,5.05
955,risk,0.000112,5.05
956,schools,0.000112,5.05
957,sleep,0.000112,5.05
958,table,0.000112,5.05
959,ten,0.000112,5.05
960,truth,0.000112,5.05
961,ball,0.00011,5.04
962,box,0.00011,5.04
963,build,0.00011,5.04
964,card,0.00011,5.04
965,cases,0.00011,5.04
966,dark,0.00011,5.04
967,district,0.00011,5.04
968,europe,0.00011,5.04
969,george,0.00011,5.04
970,india,0.00011,5.04
971,mine,0.00011,5.04
972,minister,0.00011,5.04
973,note,0.00011,5.04
974,percent,0.00011,5.04
975,piece,0.00011,5.04
976,products,0.00011,5.04
977,recent,0.00011,5.04
978,seeing,0.00011,5.04
979,straight,0.00011,5.04
980,visit,0.00011,5.04
981,wall,0.00011,5.04
982,wanna,0.00011,5.04
983,we've,0.00011,5.04
984,wrote,0.00011,5.04
985,allowed,0.000107,5.03
986,boys,0.000107,5.03
987,culture,0.000107,5.03
988,etc,0.000107,5.03
989,fans,0.000107,5.03
990,february,0.000107,5.03
991,gives,0.000107,5.03
992,growth,0.000107,5.03
993,included,0.000107,5.03
994,married,0.000107,5.03
995,officer,0.000107,5.03
996,pain,0.000107,5.03
997,paul,0.000107,5.03
998,places,0.000107,5.03
999,respect,0.000107,5.03
1000,response,0.000107,5.03
1001,river,0.000107,5.03
1002,rock,0.000107,5.03
1003,shall,0.000107,5.03
1004,speak,0.000107,5.03
1005,specific,0.000107,5.03
1006,standard,0.000107,5.03
1007,tonight,0.000107,5.03
1008,write,0.000107,5.03
1009,y,0.000107,5.03
1010,album,0.000105,5.02
1011,century,0.000105,5.02
1012,charge,0.000105,5.02
1013,cold,0.000105,5.02
1014,create,0.000105,5.02
1015,effect,0.000105,5.02
1016,eight,0.000105,5.02
1017,except,0.000105,5.02
1018,eye,0.000105,5.02
1019,funny,0.000105,5.02
1020,ii,0.000105,5.02
1021,limited,0.000105,5.02
1022,moving,0.000105,5.02
1023,network,0.000105,5.02
1024,peace,0.000105,5.02
1025,provided,0.000105,5.02
1026,recently,0.000105,5.02
1027,required,0.000105,5.02
1028,sales,0.000105,5.02
1029,spent,0.000105,5.02
1030,store,0.000105,5.02
1031,student,0.000105,5.02
