word,cefrj_cefr,ox5k_cefr,cefrj_pos,ox5k_pos,voice_url
aside,B1,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asi/aside/aside__us_1.ogg
aspect,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asp/aspec/aspect__us_1.ogg
aspiration,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asp/aspir/aspiration__us_1.ogg
aspire,B2,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/asp/aspir/aspire__us_1.ogg
assault,B2,C1,noun,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assau/assault__us_1.ogg
assemble,B2,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assem/assemble__us_1.ogg
assembly,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assem/assembly__us_1.ogg
assert,B2,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/asser/assert__us_1.ogg
assign,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assig/assign__us_1.ogg
assistance,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assis/assistance__us_1.ogg
assistant,B1,A2,noun,"adjective, noun",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assis/assistant__us_1.ogg
associate,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assoc/associate__us_2_rr.ogg
association,A2,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assoc/association__us_2_rr.ogg
assume,B1,B2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assum/assume__us_2.ogg
assurance,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ass/assur/assurance__us_1.ogg
attachment,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attac/attachment__us_1.ogg
attain,B1,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attai/attain__us_1.ogg
attempt,B1,B2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attem/attempt__us_1.ogg
attend,B1,A2,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/atten/attend__us_2.ogg
attendance,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/atten/attendance__us_1.ogg
attitude,A2,B1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attit/attitude__us_1.ogg
attribute,B2,C1,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/att/attri/attribute__us_2.ogg
audio,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aud/audio/audio__us_1.ogg
audit,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aud/audit/audit__us_1.ogg
automatic,A2,B2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autom/automatic__us_1.ogg
automatically,A2,B2,adverb,adverb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aut/autom/automatically__us_1.ogg
availability,B2,C1,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ava/avail/availability__us_1.ogg
available,B1,A2,adjective,adjective,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ava/avail/available__us_1.ogg
await,B2,C1,verb,verb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/await/await__us_1.ogg
award,B1,A2,verb,"noun, verb",https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/award/award__us_1.ogg
awareness,B1,B2,noun,noun,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/awa/aware/awareness__us_1.ogg
