rank,word,pos,cefr,frequency,zipf
509,rest,"noun, verb",B1,0.00017,5.23
510,running,noun,A2,0.00017,5.23
511,space,noun,A2,0.00017,5.23
512,summer,noun,A1,0.00017,5.23
513,term,noun,B1,0.00017,5.23
514,wife,noun,A1,0.00017,5.23
515,full stop,noun,B1,0.000169,5.23
516,beautiful,adjective,A1,0.000166,5.22
517,date,"noun, verb",B1,0.000166,5.22
518,land,"noun, verb",A2,0.000166,5.22
519,miss,"noun, verb",A1,0.000166,5.22
520,project,"noun, verb",B2,0.000166,5.22
521,sex,noun,B1,0.000166,5.22
522,shot,noun,A2,0.000166,5.22
523,site,noun,A1,0.000166,5.22
524,strong,adjective,A1,0.000166,5.22
525,account,"noun, verb",B1,0.000162,5.21
526,especially,adverb,A2,0.000162,5.21
527,include,verb,A2,0.000162,5.21
528,june,noun,A1,0.000162,5.21
529,period,noun,A1,0.000162,5.21
530,position,noun,A2,0.000162,5.21
531,record,"noun, verb",A2,0.000162,5.21
532,similar,adjective,A2,0.000162,5.21
533,total,"adjective, noun",B1,0.000162,5.21
534,second-hand,"adjective, adverb",B1,0.00016,5.2
535,left-hand,adjective,A2,0.000159,5.2
536,above,"adjective, adverb, preposition",A1,0.000158,5.2
537,club,noun,A1,0.000158,5.2
538,common,adjective,A2,0.000158,5.2
539,film,"noun, verb",B1,0.000158,5.2
540,lead,"adjective, noun, verb",B1,0.000158,5.2
541,likely,adjective,A2,0.000158,5.2
542,military,adjective,A2,0.000158,5.2
543,perfect,adjective,A2,0.000158,5.2
544,personal,adjective,A1,0.000158,5.2
545,security,noun,B1,0.000158,5.2
546,share,"noun, verb",A1,0.000158,5.2
547,tv,noun,A1,0.000158,5.2
548,health care,noun,B2,0.000157,5.2
549,april,noun,A1,0.000155,5.19
550,county,noun,B1,0.000155,5.19
551,couple,noun,A2,0.000155,5.19
552,dead,adjective,A2,0.000155,5.19
553,happen,verb,A1,0.000155,5.19
554,hold,"noun, verb",A2,0.000155,5.19
555,industry,noun,B1,0.000155,5.19
556,inside,"adjective, adverb, noun, preposition",A1,0.000155,5.19
557,online,"adjective, adverb",A2,0.000155,5.19
558,player,noun,A1,0.000155,5.19
559,private,adjective,A2,0.000155,5.19
560,return,"noun, verb",A2,0.000155,5.19
561,sense,"noun, verb",B2,0.000155,5.19
562,star,"noun, verb",B1,0.000155,5.19
563,test,"noun, verb",B2,0.000155,5.19
564,up-to-date,adjective,B1,0.000155,5.19
565,view,"noun, verb",B1,0.000155,5.19
566,hard-working,adjective,B1,0.000154,5.19
567,out-of-date,adjective,B1,0.000154,5.19
568,break,"noun, verb",A1,0.000151,5.18
569,event,noun,A1,0.000151,5.18
570,hour,noun,A1,0.000151,5.18
571,member,noun,A2,0.000151,5.18
572,middle,"adjective, noun",A2,0.000151,5.18
573,present,"adjective, noun, verb",B2,0.000151,5.18
574,result,"noun, verb",B1,0.000151,5.18
575,sorry,adjective,A1,0.000151,5.18
576,training,noun,A2,0.000151,5.18
577,wish,"noun, verb",A2,0.000151,5.18
578,answer,"noun, verb",A1,0.000148,5.17
579,boy,noun,A1,0.000148,5.17
580,design,"noun, verb",B1,0.000148,5.17
581,finally,adverb,A2,0.000148,5.17
582,gold,"adjective, noun",A2,0.000148,5.17
583,guess,"noun, verb",A1,0.000148,5.17
584,interest,"noun, verb",B1,0.000148,5.17
585,july,noun,A1,0.000148,5.17
586,king,noun,A1,0.000148,5.17
587,learn,verb,A1,0.000148,5.17
588,policy,noun,B1,0.000148,5.17
589,society,noun,A2,0.000148,5.17
590,alone,"adjective, adverb",A1,0.000145,5.16
591,average,"adjective, noun",A2,0.000145,5.16
592,bank,"noun, verb",A2,0.000145,5.16
593,certain,adjective,A2,0.000145,5.16
594,church,noun,A1,0.000145,5.16
595,east,"adjective, adverb, noun",A2,0.000145,5.16
596,hot,adjective,A1,0.000145,5.16
597,medical,adjective,A2,0.000145,5.16
598,movie,noun,A1,0.000145,5.16
599,original,"adjective, noun",B2,0.000145,5.16
600,park,"noun, verb",A2,0.000145,5.16
601,performance,noun,A2,0.000145,5.16
602,press,"noun, verb",B1,0.000145,5.16
603,role,noun,A1,0.000145,5.16
604,themselves,pronoun,A2,0.000145,5.16
605,worth,adjective,B1,0.000145,5.16
606,bill,"noun, verb",B1,0.000141,5.15
607,cool,"adjective, verb",B2,0.000141,5.15
608,director,noun,A2,0.000141,5.15
609,exactly,adverb,A2,0.000141,5.15
610,ground,noun,A1,0.000141,5.15
611,meeting,noun,A1,0.000141,5.15
612,provide,verb,A2,0.000141,5.15
613,relationship,noun,B1,0.000141,5.15
614,september,noun,A1,0.000141,5.15
615,sound,"adjective, noun, verb",A2,0.000141,5.15
616,source,noun,A2,0.000141,5.15
617,usually,adverb,A1,0.000141,5.15
618,value,"noun, verb",B2,0.000141,5.15
619,face to face,adverb,B1,0.00014,5.15
620,face-to-face,adjective,B1,0.00014,5.15
621,evidence,noun,A2,0.000138,5.14
622,follow,verb,A2,0.000138,5.14
